Responder_id,LanguagesWorkedWith
1,HTML/CSS;Java;JavaScript;Python
2,C++;HTML/CSS;Python
3,HTML/CSS
4,C;C++;C#;Python;SQL
5,C++;HTML/CSS;Java;JavaScript;Python;SQL;VBA
6,Java;R;SQL
7,HTML/CSS;JavaScript
8,Bash/Shell/PowerShell;C;C++;HTML/CSS;Java;JavaScript;Python;SQL
9,Bash/Shell/PowerShell;C#;HTML/CSS;JavaScript;Python;Ruby;Rust;SQL;TypeScript;WebAssembly;Other(s):
10,C#;Go;JavaScript;Python;R;SQL
11,Other(s):
12,Bash/Shell/PowerShell;HTML/CSS;Java;Python;R;SQL
13,Bash/Shell/PowerShell;HTML/CSS;JavaScript;PHP;SQL;TypeScript
14,C++
15,Assembly;Bash/Shell/PowerShell;C;C++;HTML/CSS;Java;JavaScript;PHP;SQL
16,Bash/Shell/PowerShell;C#;HTML/CSS;JavaScript;TypeScript;VBA
17,Bash/Shell/PowerShell;HTML/CSS;JavaScript;TypeScript
18,Python;R
19,C#;HTML/CSS;Java;JavaScript;SQL;TypeScript
20,Bash/Shell/PowerShell;C#;HTML/CSS;Java;JavaScript;PHP;Python;R;SQL
21,Assembly;Bash/Shell/PowerShell;C;C++;Go;Java;JavaScript;Kotlin;Python;Rust;SQL;Swift
22,Bash/Shell/PowerShell;C++;HTML/CSS;JavaScript;Python;Ruby;SQL;TypeScript
23,Bash/Shell/PowerShell;HTML/CSS;JavaScript;Python;Ruby;SQL
24,HTML/CSS;JavaScript;PHP;TypeScript
25,HTML/CSS;JavaScript;PHP;SQL;TypeScript
26,Bash/Shell/PowerShell;C++;C#;HTML/CSS;JavaScript;PHP;Python;Ruby;SQL;Swift;TypeScript;VBA
27,C++;JavaScript;Python;Ruby;SQL;TypeScript
28,JavaScript;TypeScript
29,Bash/Shell/PowerShell;JavaScript;SQL
31,Python
32,Bash/Shell/PowerShell;HTML/CSS;JavaScript;PHP;Python
33,C++;Python;R
34,HTML/CSS;JavaScript
35,HTML/CSS;JavaScript
36,Java;Kotlin;Python
37,Bash/Shell/PowerShell;JavaScript;Python;Other(s):
38,C#;HTML/CSS;JavaScript;SQL
39,C#;JavaScript;SQL;TypeScript
40,C#;HTML/CSS
41,Bash/Shell/PowerShell;C;C++;HTML/CSS;Java;JavaScript;SQL
42,HTML/CSS;JavaScript;PHP;TypeScript
43,C++;C#;HTML/CSS;Java;JavaScript;Objective-C;SQL
44,Bash/Shell/PowerShell;C#;HTML/CSS;Java;JavaScript;SQL;TypeScript;WebAssembly
45,Python
46,Bash/Shell/PowerShell;C;C#;HTML/CSS;JavaScript;PHP;Python;SQL;Other(s):
47,Java;PHP;Ruby
48,HTML/CSS;PHP;SQL
49,Bash/Shell/PowerShell;HTML/CSS;Java;JavaScript;PHP;Python;SQL;TypeScript
50,Bash/Shell/PowerShell;C;C++;HTML/CSS;Java;JavaScript;PHP;Python;SQL
51,Bash/Shell/PowerShell;C++;HTML/CSS;Java;JavaScript;Python;R;TypeScript
52,Bash/Shell/PowerShell;C;C++;Elixir;Erlang;Go;HTML/CSS;Java;JavaScript;Kotlin;Python;Ruby;Rust;SQL;TypeScript
53,Bash/Shell/PowerShell;HTML/CSS;Java;JavaScript;PHP;SQL;TypeScript
54,Bash/Shell/PowerShell;HTML/CSS;JavaScript;Python
55,Java;Python;SQL
56,Bash/Shell/PowerShell;HTML/CSS;Java;SQL
57,JavaScript;Python
58,C#;Java;SQL
59,HTML/CSS;JavaScript;PHP;SQL
60,Bash/Shell/PowerShell;Go;JavaScript;PHP;Python;Ruby;SQL
61,C++;C#;HTML/CSS;JavaScript;PHP;Python;SQL;VBA
62,Bash/Shell/PowerShell;C++;Go;HTML/CSS;Java;JavaScript;Kotlin;PHP;Python;Ruby;SQL;TypeScript;VBA
63,Bash/Shell/PowerShell;Clojure;Java;Python;Other(s):
64,Bash/Shell/PowerShell;C;C++;C#
65,Assembly;C;C++;C#;HTML/CSS;Java
66,Clojure;Go;HTML/CSS;Java;JavaScript;R;SQL
67,C;C#;HTML/CSS;Java;JavaScript;PHP;Python;SQL;VBA
68,HTML/CSS;Java;JavaScript;Python
69,C#;HTML/CSS;Java;JavaScript;Objective-C;SQL;TypeScript
70,C#;HTML/CSS;JavaScript;SQL
71,HTML/CSS;JavaScript;PHP;Python;SQL;VBA
72,C#;HTML/CSS;JavaScript;PHP;SQL;TypeScript
73,SQL
74,HTML/CSS;Java;JavaScript;Kotlin;Python;Ruby
75,HTML/CSS;JavaScript
76,PHP;SQL
77,HTML/CSS;JavaScript;PHP;SQL
78,HTML/CSS;Java;JavaScript;Kotlin;Python
79,C#;HTML/CSS;JavaScript;TypeScript
80,Bash/Shell/PowerShell;C#;F#;Go;HTML/CSS;Java;JavaScript;Python;SQL;TypeScript
81,Assembly;Bash/Shell/PowerShell;C;C++;Python
82,Bash/Shell/PowerShell;C++;HTML/CSS;Java;JavaScript;Python;Rust
83,HTML/CSS;JavaScript
84,C;C++;C#;Java;Kotlin;PHP;SQL
85,Bash/Shell/PowerShell;HTML/CSS;JavaScript;PHP;Python;SQL;TypeScript
86,Bash/Shell/PowerShell;C#;HTML/CSS;JavaScript;PHP;Python;SQL
87,Bash/Shell/PowerShell;C;C++;C#;Go;HTML/CSS;Java;JavaScript;Objective-C;Python;SQL
88,C++;C#;HTML/CSS;Java;JavaScript;SQL;TypeScript
89,Bash/Shell/PowerShell;Python
90,Bash/Shell/PowerShell;C#;HTML/CSS;Java;JavaScript;Objective-C

